21 29 270
0   270    1000    1000
23	66	-15.8007912	-47.8876608
10	10	-15.7843417	-47.8841141
8	20	-16.016125	-48.065338
6	6	-15.8184508	-48.0957291
6	6	-15.8016557	-48.0586873
6	6	-15.6756759	-47.8278318
4	19	-15.7986258	-47.8854909
4	4	-15.819744	-47.892514
9	10	-15.7814006	-47.7817263
0	9	-15.8586625	-48.0424157
0	27	-15.8532881	-48.0733139
12	12	-15.7946504	-47.8933064
0	20	-16.017804124045	-48.0517549185466
0	5	-15.8274617102773	-48.1179690640105
20	20	-15.7979572461783	-47.9257504257707
29	40	-16.039686262293	-48.0360510975131
0	30	-15.8353442	-47.9113094
8	20	-15.7899306	-47.9409155
0	40	-15.790032	-47.884043
0	13	-15.8167545	-48.0968505
20	-15.71836875	-47.9950273035318
17	-16.0170857	-48.0653054
27	-15.8335277	-48.0565716
5	-15.6808898	-48.1942621
15	-15.6500533	-47.7848449
19	-15.6181947	-47.6555703
10	-15.77544	-47.7797631
2	-15.8711851	-47.9679941
37	-15.8173391	-48.1045766
15	-15.8235629	-47.9768165
5	-15.7907819	-47.9374426
27	-15.8769989	-48.0881004
17	-16.0171229	-48.0131328
5	-15.9033774	-47.7717736
13	-15.9025481	-48.0607778
1	-15.8391817	-47.8755338
4	-15.883305	-48.0174762
2	-15.7342351	-47.8641578
2	-15.8536609	-47.9493775
4	-15.8419933	-48.0281208
4	-15.9071139	-48.048811
2	-15.8002187	-47.9243896
1	-15.710824	-47.8763338
2	-15.9027386	-47.963322
3	-15.78207955	-47.9968684683707
2	-15.6437253	-47.8260143
1	-15.863892	-47.7885208
1	-15.7484526	-47.7696938
3	-15.8135709	-48.0156045

