21 33 270
0   270    1000    1000
56	56	-15.8007912	-47.8876608
10	10	-15.7843417	-47.8841141
8	8	-16.016125	-48.065338
6	6	-15.8184508	-48.0957291
6	6	-15.8016557	-48.0586873
6	6	-15.6756759	-47.8278318
4	4	-15.7986258	-47.8854909
4	4	-15.819744	-47.892514
9	9	-15.7814006	-47.7817263
9	9	-15.8586625	-48.0424157
20	20	-15.8532881	-48.0733139
12	12	-15.7946504	-47.8933064
20	20	-16.017804124045	-48.0517549185466
5	5	-15.8274617102773	-48.1179690640105
20	20	-15.7979572461783	-47.9257504257707
29	29	-16.039686262293	-48.0360510975131
10	10	-15.8353442	-47.9113094
8	8	-15.7899306	-47.9409155
15	15	-15.790032	-47.884043
13	13	-15.8167545	-48.0968505
16	-15.71836875	-47.9950273035318
10	-16.0170857	-48.0653054
14	-15.8335277	-48.0565716
5	-15.6808898	-48.1942621
5	-15.6500533	-47.7848449
13	-15.6181947	-47.6555703
5	-15.77544	-47.7797631
2	-15.8711851	-47.9679941
30	-15.8173391	-48.1045766
10	-15.8235629	-47.9768165
3	-15.7907819	-47.9374426
17	-15.8769989	-48.0881004
9	-16.0171229	-48.0131328
8	-15.9033774	-47.7717736
9	-15.9025481	-48.0607778
3	-15.8391817	-47.8755338
3	-15.883305	-48.0174762
3	-15.7342351	-47.8641578
2	-15.8536609	-47.9493775
12	-15.8419933	-48.0281208
3	-15.9071139	-48.048811
4	-15.8002187	-47.9243896
1	-15.710824	-47.8763338
2	-15.9027386	-47.963322
3	-15.78207955	-47.9968684683707
6	-15.6437253	-47.8260143
4	-15.863892	-47.7885208
5	-15.7484526	-47.7696938
1	-15.8061818	-47.9591582
5	-15.8135709	-48.0156045
1	-15.6002334	-47.8715955
6	-15.8261127	-48.137289
3	-15.858976	-48.0122281
